0.00549975	-0.00792496	3.80041E-13	0.00549976	9.89517E-11	0.00549975
0.00520709	-0.00242191	8.38542E-10	0.00520711	-4.61899E-11	0.0052071
0.00468165	-0.00212946	5.46711E-12	0.0046817	-1.28734E-10	0.00468167
0.00424362	-0.00193398	1.56485E-09	0.00424369	-2.02497E-10	0.00424365
0.00385098	-0.00175472	1.39415E-11	0.00385106	-2.57271E-10	0.00385102
0.00348611	-0.00158178	1.87977E-11	0.00348618	-2.8811E-10	0.00348614
0.00314232	-0.00141167	2.38585E-11	0.00314239	-2.95452E-10	0.00314235
0.00281837	-0.00124318	2.89808E-11	0.00281843	-2.81582E-10	0.00281841
0.00251649	-0.00107565	3.40415E-11	0.0025165	-2.51166E-10	0.00251649
0.00224137	-0.000908475	3.89555E-11	0.00224134	-2.09864E-10	0.00224135
0.00199961	-0.00074287	4.36859E-11	0.00199954	-1.63686E-10	0.00199957
0.00179844	-0.000578254	4.81926E-11	0.00179834	-1.18339E-10	0.00179839
0.00164406	-0.000413764	5.23119E-11	0.00164394	-7.81803E-11	0.00164401
0.00154034	-0.00024875	5.56365E-11	0.00154016	-4.52876E-11	0.00154025
0.00148845	-8.29339E-05	5.7553E-11	0.00148827	-1.86128E-11	0.00148837
0.00148846	8.29329E-05	5.75682E-11	0.00148826	5.66334E-12	0.00148836
0.00154031	0.000248737	5.56704E-11	0.00154013	3.25663E-11	0.00154021
0.00164403	0.000413733	5.2336E-11	0.00164388	6.59605E-11	0.00164395
0.00179836	0.000577843	4.81653E-11	0.00179825	1.06924E-10	0.00179831
0.00199951	0.000742791	4.35637E-11	0.00199944	1.53507E-10	0.00199947
0.00224125	0.000908714	3.86966E-11	0.00224122	2.01356E-10	0.00224123
0.00251633	0.00107553	3.36142E-11	0.00251635	2.44716E-10	0.00251635
0.00281823	0.00124305	2.83717E-11	0.00281827	2.7747E-10	0.00281825
0.00314214	0.00141152	2.30742E-11	0.00314221	2.93734E-10	0.00314217
0.00348592	0.00158163	1.78765E-11	0.00348599	2.88605E-10	0.00348595
0.00385079	0.00175458	1.2957E-11	0.00385088	2.59007E-10	0.00385083
0.00424344	0.00193385	8.4971E-12	0.00424352	2.04802E-10	0.00424348
0.00468148	0.00212938	1.23473E-09	0.00468154	1.30476E-10	0.00468151
0.00520697	0.00242185	1.86091E-12	0.00520699	4.72719E-11	0.00520698
0.0054997	0.00792491	1.95843E-13	0.00549971	-9.27664E-11	0.00549971
